id,orden,año,fecha,Cargo,Nombre,fn,edad,Partido,Partido,Estado,fecha_endoso,link,
48,5,2020,19/08/2020,Alcalde,Mauricio Soria Macchiavello,03/03/1969,51,Independiente,IND,Apruebo,02/03/2020,Cambio21,
49,5,2020,,Alcalde,Omar Sabat Guzmán,,,Independiente,IND,sin info,,,
50,5,2020,,Alcalde,Marcos López Rivera,20/03/1957,63,Independiente,IND,sin info,,,
51,5,2020,19/08/2020,Alcalde,Marcelo Pereira Peralta,,,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
52,5,2020,19/08/2020,Alcalde,Álvaro Ortíz Vera,24/10/1977,43,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
53,5,2020,18/08/2020,Alcalde,Gerardo Espíndola Rojas,23/07/1978,42,Partido Liberal,PL,Apruebo,,Instagram,
54,5,2020,19/08/2020,Alcalde,Ignacio Pozo Piña,15/08/1994,26,Partido Radical Socialdemócrata,PR,Apruebo,12/08/2020,Pauta,
55,5,2020,,Alcalde,Leonel Cádiz Soto,,,Partido Socialista,PS,sin info,,,
56,5,2020,26/08/2020,Alcalde,Gervoy Paredes Rojas,,,Partido Socialista,PS,Apruebo,,Twitter,
57,5,2020,26/08/2020,Alcalde,Alejandro Huala Canumán,,,Partido Socialista,PS,Apruebo,,Hoy Coiaique,
58,5,2020,19/08/2020,Alcalde,Germán Codina Powers,28/03/1974,46,Renovación Nacional,RN,Apruebo,02/03/2020,Cambio21,
59,5,2020,19/08/2020,Alcalde,Felipe Alessandri Vergara,04/02/1975,45,Renovación Nacional,RN,Apruebo,17/02/2020,El Mostrador,
60,5,2020,,Alcalde,Miguel Ángel Becker Alvear,07/10/1960,60,Renovación Nacional,RN,sin info,,,
61,5,2020,,Alcalde,Juan Carlos Díaz Avendaño,,,Renovación Nacional,RN,sin info,,,
62,5,2020,,Alcalde,Sergio Zarzar Andonie,12/01/1952,68,Renovación Nacional,RN,sin info,,,
63,5,2020,,Alcalde,Claudio Radonich,26/03/1976,44,Renovación Nacional,RN,sin info,,,
64,5,2020,19/08/2020,Alcalde,Virginia Reginato Bozzo,16/07/1939,81,Unión Demócrata Independiente,UDI,Rechazo,02/03/2020,Cambio21,
65,5,2020,19/08/2020,Alcalde,Joaquín Lavín Infante,23/10/1953,67,Unión Demócrata Independiente,UDI,Apruebo,05/08/2020,La Tercera,
66,6,2020,18/08/2020,Senador,Felipe Kast Sommerhoff,09/06/1977,43,Evolución Política,EVO,Apruebo,24/07/2020,Nuevo Poder,
67,6,2020,18/08/2020,Senador,Carmen Gloria Aravena Acuña,06/01/1967,53,Evolución Política,EVO,Rechazo,07/01/2020,La Tercera,
68,6,2020,18/08/2020,Senador,Juan Castro Prieto,01/11/1959,61,Independiente,IND,Rechazo,07/01/2020,La Tercera,
69,6,2020,18/08/2020,Senador,Kenneth Pugh Olavarría,22/10/1959,61,Independiente,IND,Rechazo,07/01/2020,La Tercera,
70,6,2020,,Senador,Carlos Bianchi Chelech,04/11/1960,60,Independiente,IND,sin info,,,
71,6,2020,18/08/2020,Senador,Alejandro Guillier Álvarez,05/03/1953,67,Independiente,IND,Apruebo,,Instagram,
72,6,2020,,Senador,Pedro Araya Guerrero,16/06/1974,46,Independiente,IND,sin info,,,
73,6,2020,18/08/2020,Senador,Alejandro Navarro Brain,20/11/1958,62,Movimiento Amplio Socialista,MAS,Apruebo,,Instagram,
74,6,2020,18/08/2020,Senador,Francisco Huenchumilla Jaramillo,22/03/1944,76,Partido Democrata Cristiano,DC,Apruebo,,Instagram,
75,6,2020,18/08/2020,Senador,Yasna Provoste Campillay,16/12/1969,51,Partido Democrata Cristiano,DC,Apruebo,,Instagram,
76,6,2020,18/08/2020,Senador,Ximena Rincón González,05/07/1968,52,Partido Democrata Cristiano,DC,Apruebo,,Instagram,
77,6,2020,19/08/2020,Senador,Carolina Goic Boroevic,20/12/1972,48,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
78,6,2020,19/08/2020,Senador,Jorge Pizarro Soto,21/04/1952,68,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
79,6,2020,18/08/2020,Senador,Ricardo Lagos Weber,21/02/1962,58,Partido por la Democracia,PPD,Apruebo,,Instagram,
80,6,2020,19/08/2020,Senador,Ximena Órdenes Neira,09/03/1973,47,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
81,6,2020,19/08/2020,Senador,Jaime Quintana Leal,22/10/1967,53,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
82,6,2020,19/08/2020,Senador,Jorge Soria Quiroga,01/11/1936,84,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
83,6,2020,19/08/2020,Senador,Guido Girardi Lavín,24/01/1961,59,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
84,6,2020,19/08/2020,Senador,Felipe Harboe Bascuñán,20/07/1972,48,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
85,6,2020,19/08/2020,Senador,Adriana Muñoz D'Albora,25/09/1948,72,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
86,6,2020,19/08/2020,Senador,Álvaro Elizalde Soto,15/10/1969,51,Partido Socialista,PS,Apruebo,19/08/2020,T13,
87,6,2020,19/08/2020,Senador,José Miguel Insulza Salinas,02/06/1943,77,Partido Socialista,PS,Apruebo,19/08/2020,T13,
88,6,2020,19/08/2020,Senador,Isabel Allende Bussi,18/01/1945,75,Partido Socialista,PS,Apruebo,19/08/2020,T13,
89,6,2020,19/08/2020,Senador,Alfonso De Urresti Longton,07/03/1966,54,Partido Socialista,PS,Apruebo,19/08/2020,T13,
90,6,2020,19/08/2020,Senador,Juan Pablo Letelier Morel,07/01/1961,59,Partido Socialista,PS,Apruebo,19/08/2020,T13,
91,6,2020,18/08/2020,Senador,Carlos Montes Cisternas,11/05/1946,74,Partido Socialista,PS,Apruebo,,Instagram,
92,6,2020,19/08/2020,Senador,Rabindranath Quinteros Lara,31/10/1943,77,Partido Socialista,PS,Apruebo,,Twitter,
93,6,2020,19/08/2020,Senador,Marcela Sabat Fernández,04/04/1981,39,Renovación Nacional,RN,Apruebo,,Instagram,
94,6,2020,18/08/2020,Senador,Francisco Chahuan Chahuan,20/05/1971,49,Renovación Nacional,RN,Rechazo,07/01/2020,La Tercera,
95,6,2020,18/08/2020,Senador,Rodrigo Galilea Vial,03/11/1966,54,Renovación Nacional,RN,Rechazo,07/01/2020,La Tercera,
96,6,2020,18/08/2020,Senador,José García Ruminot,22/05/1955,65,Renovación Nacional,RN,Rechazo,07/01/2020,La Tercera,
97,6,2020,18/08/2020,Senador,Rafael Prohens Espinosa,12/06/1955,65,Renovación Nacional,RN,Rechazo,07/01/2020,La Tercera,
98,6,2020,19/08/2020,Senador,Manuel José Ossandón Irarrázabal,24/08/1962,58,Renovación Nacional,RN,Apruebo,14/03/2020,Bío Bío,
99,6,2020,18/08/2020,Senador,Juan Ignacio Latorre Riveros,24/03/1978,42,Revolución Democrática,RD,Apruebo,,Twitter,
100,6,2020,19/08/2020,Senador,José Durana Semir,27/06/1960,60,Unión Demócrata Independiente,UDI,Rechazo,07/01/2020,La Tercera,
101,6,2020,19/08/2020,Senador,Luz Ebensperger Orrego,08/03/1964,56,Unión Demócrata Independiente,UDI,Rechazo,07/01/2020,La Tercera,
102,6,2020,19/08/2020,Senador,David Sandoval Plaza,20/10/1952,68,Unión Demócrata Independiente,UDI,Rechazo,07/01/2020,La Tercera,
103,6,2020,19/08/2020,Senador,Juan Antonio Coloma Correa,15/07/1956,64,Unión Demócrata Independiente,UDI,Rechazo,07/01/2020,La Tercera,
104,6,2020,19/08/2020,Senador,Iván Moreira Barros,08/12/1956,64,Unión Demócrata Independiente,UDI,Rechazo,07/01/2020,La Tercera,
105,6,2020,19/08/2020,Senador,Ena Von Baer Jahn,28/11/1974,46,Unión Demócrata Independiente,UDI,Rechazo,07/01/2020,La Tercera,
106,6,2020,19/08/2020,Senador,Alejandro García-Huidobro Sanfuentes,19/04/1952,68,Unión Demócrata Independiente,UDI,Rechazo,07/01/2020,La Tercera,
107,6,2020,18/08/2020,Senador,Jacqueline Van Rysselberghe Herrera,03/02/1965,55,Unión Demócrata Independiente,UDI,Rechazo,,Instagram,
