id,orden,Cargo,Nombre,fn,edad,Partido,Partido,registro,Candidato,fecha_endoso,link,link,
186,9,Constituyente,Ricardo Montero,,,,PS ,1,P. Narváez,21-06-2021,,,
187,9,Constituyente,Ramona Reyes,,,,PS ,1,P. Narváez,21-06-2021,,,
188,9,Constituyente,Pedro Muñoz,,,,PS ,1,P. Narváez,21-06-2021,,,
189,9,Constituyente,Mario Vargas,,,,PS ,1,P. Narváez,21-06-2021,,,
190,9,Constituyente,Julio Alvarez,,,,PS ,1,P. Narváez,21-06-2021,,,
191,9,Constituyente,Tomas Laibe,,,,PS ,1,P. Narváez,21-06-2021,,,
192,3,Ministro,Andrés Allamand,07/02/1956,65,Renovación Nacional,RN,1,S. Sichel,17/12/2020,https://www.theclinic.cl/2020/12/17/parte-ii-presidenciables-y-sus-equipos-los-aprontes-de-la-carrera-a-la-moneda/,.,
193,6,Diputado,Miguel Mellado,29/12/1958,63,Renovación Nacional,RN,1,S. Sichel,17/12/2020,https://www.theclinic.cl/2020/12/17/parte-ii-presidenciables-y-sus-equipos-los-aprontes-de-la-carrera-a-la-moneda/,.,
194,6,Diputado,Karin Luck,19/07/1971,50,Renovación Nacional,RN,1,S. Sichel,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
195,6,Diputado,Luis Pardo,13/12/1960,61,Renovación Nacional,RN,1,S. Sichel,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
196,6,Diputado,Diego Schalper,14/03/1985,36,Renovación Nacional,RN,1,S. Sichel,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
197,6,Diputado,Tomás Fuentes,10/03/1985,36,Renovación Nacional,RN,1,S. Sichel,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
198,6,Diputado,Diego Paulsen,01/08/1987,34,Renovación Nacional,RN,1,S. Sichel,14/06/2021,https://twitter.com/sebastiansichel/status/1404429292532998154,.,
199,6,Diputado,Ramón Galleguillos,26/07/1953,68,Renovación Nacional,RN,1,S. Sichel,25/06/2021,https://twitter.com/ramongallec/status/1406678220276219911,.,
200,5,Senador,Alejandro García,19/04/1952,69,Unión Demócrata Independiente,UDI,1,S. Sichel,26/05/2021,https://digital.lasegunda.com/2021/05/26/A/KU3VIE9G#zoom=page-width,.,
201,4,Gobernador Reg.,Luciano Rivas,,,Independiente,CHV-IND,0,,,,,
202,2,Ex Presidente,Eduardo Frei,24/06/1942,79,Partido Democrata Cristiano,DC,0,,,,,
203,4,Gobernador Reg.,Jorge Díaz,,,Partido Democrata Cristiano,DC,0,,,,,
204,4,Gobernador Reg.,Claudio Orrego,,,Partido Democrata Cristiano,DC,0,,,,,
205,4,Gobernador Reg.,Cristina Bravo,,,Partido Democrata Cristiano,DC,0,,,,,
206,4,Gobernador Reg.,Patricio Vallespín,,,Partido Democrata Cristiano,DC,0,,,,,
207,5,Senador,Carolina Goic,20/12/1972,49,Partido Democrata Cristiano,DC,0,,,,.,
208,5,Senador,Francisco Huenchumilla,22/03/1944,77,Partido Democrata Cristiano,DC,0,,,,.,
209,5,Senador,Jorge Pizarro,21/04/1952,69,Partido Democrata Cristiano,DC,0,,,,.,
210,5,Senador,Yasna Provoste,16/12/1969,52,Partido Democrata Cristiano,DC,0,,,,.,
211,5,Senador,Ximena Rincón,,,Partido Democrata Cristiano,DC,0,,,,,
212,6,Diputado,Mario Venegas,03/12/1957,64,Partido Democrata Cristiano,DC,0,,,,.,
213,6,Diputado,Miguel Calisto,19/07/1985,36,Partido Democrata Cristiano,DC,0,,,,.,
214,6,Diputado,Gabriel Silber,15/09/1976,45,Partido Democrata Cristiano,DC,0,,,,.,
215,6,Diputado,Daniel Verdessi,15/12/1952,69,Partido Democrata Cristiano,DC,0,,,,.,
216,6,Diputado,Gabriel Ascencio,25/10/1953,68,Partido Democrata Cristiano,DC,0,,,,.,
217,6,Diputado,Iván Flores,15/06/1955,66,Partido Democrata Cristiano,DC,0,,,,.,
218,6,Diputado,Manuel Matta,10/11/1946,75,Partido Democrata Cristiano,DC,0,,,,.,
219,6,Diputado,José Miguel Ortíz,22/11/1941,80,Partido Democrata Cristiano,DC,0,,,,.,
220,6,Diputado,Joanna Pérez,01/04/1976,45,Partido Democrata Cristiano,DC,0,,,,.,
221,6,Diputado,Víctor Torres,11/10/1975,46,Partido Democrata Cristiano,DC,0,,,,.,
222,6,Diputado,Jorge Sabag,26/12/1963,58,Partido Democrata Cristiano,DC,0,,,,.,
223,6,Diputado,Matias Walker,19/07/1973,48,Partido Democrata Cristiano,DC,0,,,,.,
224,7,Alcalde,Álvaro Ortíz,24/10/1977,44,Partido Democrata Cristiano,DC,0,,,,,
225,7,Alcalde,Carolina Leitao,,,Partido Democrata Cristiano,DC,0,,,,,
226,7,Alcalde,Emeterio Carrillo,,,Partido Democrata Cristiano,DC,0,,,,,
227,7,Alcalde,Claudia Pizarro,,,Partido Democrata Cristiano,DC,0,,,,,
228,7,Alcalde,Javier Muñoz,,,Partido Democrata Cristiano,DC,0,,,,,
229,4,Gobernador Reg.,Krist Naranjo,,,Independiente,ECO-IND,0,,,,,
230,4,Gobernador Reg.,Rodrigo Mundaca,,,Independiente,FA-IND,0,,,,,
231,7,Alcalde,Paulina Bobadilla,,,Independiente,FA-IND,0,,,,,
232,7,Alcalde,Felipe Muñoz,,,Independiente,FA-IND,0,,,,,
233,6,Diputado,Alejandra Sepúlveda,13/11/1965,56,Federación Regionalista Verde Social,FRVS,0,,,,,
234,6,Diputado,Esteban Velásquez,26/12/1962,59,Federación Regionalista Verde Social,FRVS,0,,,,,
235,7,Alcalde,Eliecer Chamorro,,,Federación Regionalista Verde Social,FRVS,0,,,,,
236,4,Gobernador Reg.,Miguel Vargas,,,Independiente,IFP,0,,,,,
237,4,Gobernador Reg.,Rodrigo Díaz,,,Independiente,IFP,0,,,,,
238,7,Alcalde,Jonathan Velásquez,,,Independiente,IFP,0,,,,,
239,7,Alcalde,Ali Kashan,,,Independiente,IFP,0,,,,,
240,7,Alcalde,René de la Vega,,,Independiente,IFP,0,,,,,
241,9,Constituyente,Rodrigo Logan,,,,IFP,0,,,,,
242,1,Presidente,Sebastián Piñera,01/12/1949,72,Independiente,IND,0,,,,,
243,3,Ministro,Karla Rubilar,17/04/1977,44,Independiente,IND,0,,,,,
244,3,Ministro,Juan C. Jobet,14/10/1975,46,Independiente,IND,0,,,,,
245,3,Ministro,Consuelo Valdés,09/10/1948,73,Independiente,IND,0,,,,,
246,3,Ministro,Raúl Figueroa,21/03/1975,46,Independiente,IND,0,,,,,
247,3,Ministro,Alfredo Moreno,04/08/1956,65,Independiente,IND,0,,,,,
248,3,Ministro,Enrique Paris,03/09/1948,73,Independiente,IND,0,,,,,
249,3,Ministro,Carolina Schmidt,09/09/1967,54,Independiente,IND,0,,,,,
250,3,Ministro,Rodrigo Cerda,13-02-1973,48,Independiente,IND,0,,,,,
251,3,Ministro,Andrés Couve,23-10-1968,53,Independiente,IND,0,,,,,
252,5,Senador,Alejandro Guillier,05/03/1953,68,Independiente,IND,0,,,,,
253,5,Senador,Carlos Bianchi,04/11/1960,61,Independiente,IND,0,,,,,
254,5,Senador,Carmen G. Aravena,06/01/1967,54,Independiente,IND,0,,,,,
255,5,Senador,Kenneth Pugh,22/10/1959,62,Independiente,IND,0,,,,,
256,5,Senador,Pedro Araya,16/06/1974,47,Independiente,IND,0,,,,,
257,5,Senador,Ximena Órdenes,09/03/1973,48,Independiente,IND,0,,,,,
258,6,Diputado,Pedro Velasquez,05/08/1964,57,Independiente,IND,0,,,,,
259,6,Diputado,Karim Bianchi,31/01/1983,38,Independiente,IND,0,,,,,
260,6,Diputado,Rene Saffirio,09/10/1955,66,Independiente,IND,0,,,,,
261,6,Diputado,Raúl Soto,20/11/1987,34,Independiente,IND,0,,,,,
262,6,Diputado,Pablo Lorenzini,25/10/1949,72,Independiente,IND,0,,,,,
263,6,Diputado,Tomás Hirsch,19/07/1956,65,Independiente,IND,0,,,,,
264,6,Diputado,René Alinco,02/06/1958,63,Independiente,IND,0,,,,,
265,6,Diputado,Pepe Auth,06/03/1957,64,Independiente,IND,0,,,,,
266,6,Diputado,Fernando Meza,14/07/1946,75,Independiente,IND,0,,,,,
267,6,Diputado,Carlos Jarpa,14/11/1944,77,Independiente,IND,0,,,,,
268,6,Diputado,Patricio Rosas,06/05/1968,53,Independiente,IND,0,,,,,
269,6,Diputado,Sandra Amar,24/11/1955,66,Independiente,IND,0,,,,,
270,6,Diputado,Virginia Troncoso,18/02/1951,70,Independiente,IND,0,,,,,
271,7,Alcalde,Jorge Sharp,25/03/1985,36,Independiente,IND,0,,,,,
272,7,Alcalde,Mauricio Soria,03/03/1969,52,Independiente,IND,0,,,,,
273,6,Diputado,Félix González,26/05/1972,49,Partido Ecologista Verde,PEV,0,,,,,
274,6,Diputado,Pamela Jiles,30/11/1960,61,Partido Humanista,PH,0,,,,,
275,6,Diputado,Raúl Florcita Alarcón,15/10/1945,76,Partido Humanista,PH,0,,,,,
276,7,Alcalde,Italo Bravo,,,Partido Igualdad,PI,0,,,,,
277,5,Senador,Alejandro Navarro,20/11/1958,63,Pais Progresista,PPRO,0,,,,,
278,3,Ministro,Baldo Prokuriça,02/07/1958,63,Renovación Nacional,RN,0,,,,,
279,3,Ministro,Cecilia Pérez,23/09/1974,47,Renovación Nacional,RN,0,,,,,
280,3,Ministro,Juan J. Ossa,12-09-1979,42,Renovación Nacional,RN,0,,,,,
281,5,Senador,Francisco Chahuan,20/05/1971,50,Renovación Nacional,RN,0,,,,,
282,5,Senador,José García R.,22/05/1955,66,Renovación Nacional,RN,0,,,,,
283,5,Senador,Juan Castro,01/11/1959,62,Renovación Nacional,RN,0,,,,,
284,5,Senador,Manuel J. Ossandón,24/08/1962,59,Renovación Nacional,RN,0,,,,,
285,5,Senador,Marcela Sabat,04/04/1981,40,Renovación Nacional,RN,0,,,,,
286,5,Senador,Rodrigo Galilea,03/11/1966,55,Renovación Nacional,RN,0,,,,,
287,6,Diputado,Bernardo Berger,04/10/1946,75,Renovación Nacional,RN,0,,,,,
288,6,Diputado,José Miguel Castro,05/08/1974,47,Renovación Nacional,RN,0,,,,,
289,6,Diputado,Sofía Cid,29/09/1971,50,Renovación Nacional,RN,0,,,,,
290,6,Diputado,Catalina del Real,07/11/1968,53,Renovación Nacional,RN,0,,,,,
291,6,Diputado,Gonzalo Fuenzalida,18/06/1973,48,Renovación Nacional,RN,0,,,,,
292,6,Diputado,René M. García,24/05/1950,71,Renovación Nacional,RN,0,,,,,
293,6,Diputado,Leopoldo Pérez,28/03/1957,64,Renovación Nacional,RN,0,,,,,
294,6,Diputado,Alejandro Santana,18/07/1965,56,Renovación Nacional,RN,0,,,,,
295,6,Diputado,Sebastián Torrealba,06/02/1981,40,Renovación Nacional,RN,0,,,,,
296,7,Alcalde,Claudio Radonich,,,Renovación Nacional,RN,0,,,,,
297,4,Gobernador Reg.,Ricardo Díaz,,,Independiente,UC-IND,0,,,,,
298,4,Gobernador Reg.,Jorge Flies,,,Independiente,UC-IND,0,,,,,
299,7,Alcalde,Marcos López,,,Independiente,UC-IND,0,,,,,
300,3,Ministro,Lucas Palacios,17/03/1974,47,Unión Demócrata Independiente,UDI,0,,,,,
301,3,Ministro,Jaime Bellolio,29/11/1980,41,Unión Demócrata Independiente,UDI,0,,,,,
302,3,Ministro,Felipe Ward,14/09/1972,49,Unión Demócrata Independiente,UDI,0,,,,,
303,3,Ministro,Julio Isamit,18/02/1989,32,Unión Demócrata Independiente,UDI,0,,,,,
304,3,Ministro,Mónica Zalaquett,04/05/1962,59,Unión Demócrata Independiente,UDI,0,,,,,
305,3,Ministro,Hernán Larraín,21/09/1947,74,Unión Demócrata Independiente,UDI,0,,,,,
306,3,Ministro,Rodrigo Delgado,13-06-1974,47,Unión Demócrata Independiente,UDI,0,,,,,
307,5,Senador,Claudio Alvarado,07/02/1960,61,Unión Demócrata Independiente,UDI,0,,,,,
308,5,Senador,Ena von Baer,28/11/1974,47,Unión Demócrata Independiente,UDI,0,,,,,
309,5,Senador,Juan A. Coloma,15/07/1956,65,Unión Demócrata Independiente,UDI,0,,,,,
310,6,Diputado,Nino Baltolú,28/09/1953,68,Unión Demócrata Independiente,UDI,0,,,,,
311,6,Diputado,Sergio Bobadilla,25/03/1958,63,Unión Demócrata Independiente,UDI,0,,,,,
312,6,Diputado,Juan M. Fuenzalida,01/07/1973,48,Unión Demócrata Independiente,UDI,0,,,,,
313,6,Diputado,Javier Hernández,07/08/1954,67,Unión Demócrata Independiente,UDI,0,,,,,
314,6,Diputado,Nicolás Noman,07/05/1981,40,Unión Demócrata Independiente,UDI,0,,,,,
315,6,Diputado,Iván Norambuena,04/09/1958,63,Unión Demócrata Independiente,UDI,0,,,,,
316,6,Diputado,Guillermo Ramírez,16/04/1979,42,Unión Demócrata Independiente,UDI,0,,,,,
317,6,Diputado,Rolando Rentería,19/08/1968,53,Unión Demócrata Independiente,UDI,0,,,,,
318,6,Diputado,Gastón v. Muhlenbrock,26/12/1954,67,Unión Demócrata Independiente,UDI,0,,,,,
319,6,Diputado,Jorge Alessandri,08/06/1979,42,Unión Demócrata Independiente,UDI,0,,,,,
320,6,Diputado,Pedro Alvarez,18/02/1976,45,Unión Demócrata Independiente,UDI,0,,,,,
321,6,Diputado,Cristián Moreira,05/09/1961,60,Unión Demócrata Independiente,UDI,0,,,,,
322,6,Diputado,Nora Cuevas,04/01/1959,62,Unión Demócrata Independiente,UDI,0,,,,,
323,7,Alcalde,Evelyn Matthei,,,Unión Demócrata Independiente,UDI,0,,,,,
324,7,Alcalde,Henry Campos,,,Unión Demócrata Independiente,UDI,0,,,,,
325,9,Constituyente,Fuad Chahin,,,,DC ,0,,,,,
326,9,Constituyente,Christian Viera,,,,DC-IND,0,,,,,
327,9,Constituyente,Barbara Rebolledo,,,,EVO-IND,0,,,,,
328,9,Constituyente,Rocio Cantuarias,,,,EVO-IND,0,,,,,
329,9,Constituyente,Hernan Velasquez,,,,FRVS,0,,,,,
330,9,Constituyente,Nicolas Nuñez,,,,FRVS,0,,,,,
331,9,Constituyente,Paola Grandon,,,,FRVS,0,,,,,
332,9,Constituyente,Roberto Celedon,,,,FRVS-IND,0,,,,,
333,9,Constituyente,Alejandra Flores,,,,IND,0,,,,,
334,9,Constituyente,Dayyana Gonzalez,,,,IND,0,,,,,
335,9,Constituyente,Cristina Dorador,,,,IND,0,,,,,
336,9,Constituyente,Constanza San Juan,,,,IND,0,,,,,
337,9,Constituyente,Guillermo Namor,,,,IND,0,,,,,
338,9,Constituyente,Maria Castillo,,,,IND,0,,,,,
339,9,Constituyente,Ivanna Olivares,,,,IND,0,,,,,
340,9,Constituyente,Daniel Bravo,,,,IND,0,,,,,
341,9,Constituyente,Lisette Vergara,,,,IND,0,,,,,
342,9,Constituyente,Cristobal Andrade,,,,IND,0,,,,,
343,9,Constituyente,Janis Meneses,,,,IND,0,,,,,
344,9,Constituyente,Miguel Botto,,,,IND,0,,,,,
345,9,Constituyente,Camila Zarate,,,,IND,0,,,,,
346,9,Constituyente,Tania Madriaga,,,,IND,0,,,,,
347,9,Constituyente,Maria Rivera,,,,IND,0,,,,,
348,9,Constituyente,Marco Arellano,,,,IND,0,,,,,
349,9,Constituyente,Alejandra Perez,,,,IND,0,,,,,
350,9,Constituyente,Natalia Henriquez,,,,IND,0,,,,,
351,9,Constituyente,Manuel Woldarsky,,,,IND,0,,,,,
352,9,Constituyente,Patricia Politzer,,,,IND,0,,,,,
353,9,Constituyente,Alondra Carrillo,,,,IND,0,,,,,
354,9,Constituyente,Giovanna Grandon,,,,IND,0,,,,,
355,9,Constituyente,Benito Baranda,,,,IND,0,,,,,
356,9,Constituyente,Juan Martin,,,,IND,0,,,,,
357,9,Constituyente,Ingrid Villena,,,,IND,0,,,,,
358,9,Constituyente,Francisco Caamaño,,,,IND,0,,,,,
359,9,Constituyente,Paulina Valenzuela,,,,IND,0,,,,,
360,9,Constituyente,Alvin Saldaña,,,,IND,0,,,,,
361,9,Constituyente,Loreto Vallejos,,,,IND,0,,,,,
362,9,Constituyente,Gloria Alvarado,,,,IND,0,,,,,
363,9,Constituyente,Maria Quinteros,,,,IND,0,,,,,
364,9,Constituyente,Elsa Labraña,,,,IND,0,,,,,
365,9,Constituyente,Francisca Arauna,,,,IND,0,,,,,
366,9,Constituyente,Fernando Salinas,,,,IND,0,,,,,
367,9,Constituyente,Cesar Uribe,,,,IND,0,,,,,
368,9,Constituyente,Carolina Sepulveda,,,,IND,0,,,,,
369,9,Constituyente,Tammy Pustilnick,,,,IND,0,,,,,
370,9,Constituyente,Rossana Vidal,,,,IND,0,,,,,
371,9,Constituyente,Bastian Labbe,,,,IND,0,,,,,
372,9,Constituyente,Javier Fuchslocher,,,,IND,0,,,,,
373,9,Constituyente,Helmuth Martinez,,,,IND,0,,,,,
374,9,Constituyente,Lorena Cespedes,,,,IND,0,,,,,
375,9,Constituyente,Adriana Ampuero,,,,IND,0,,,,,
376,9,Constituyente,Gaspar Dominguez,,,,IND,0,,,,,
377,9,Constituyente,Mauricio Daza,,,,IND,0,,,,,
378,9,Constituyente,Elisa Giustinianovich,,,,IND,0,,,,,
379,9,Constituyente,Vanessa Hoppe,,,,PC-IND,0,,,,,
380,9,Constituyente,Isabel Godoy,,,,PC-IND,0,,,,,
381,9,Constituyente,Manuela Royo,,,,PI-IND,0,,,,,
382,9,Constituyente,Jorge Abarca,,,,PL-IND,0,,,,,
383,9,Constituyente,Agustin Squella,,,,PL-IND,0,,,,,
384,9,Constituyente,Patricio Fernandez,,,,PL-IND,0,,,,,
385,9,Constituyente,Luis Barcelo,,,,PPD-IND,0,,,,,
386,9,Constituyente,Fernando Tirado,,,,PPD-IND,0,,,,,
387,9,Constituyente,Renato Garin,,,,PR-IND,0,,,,,
388,9,Constituyente,Bessy Gallardo,,,,PRO-IND,0,,,,,
389,9,Constituyente,Carlos Calvo,,,,PS-IND,0,,,,,
390,9,Constituyente,Claudio Gomez,,,,PS-IND,0,,,,,
391,9,Constituyente,Jorge Baradit,,,,PS-IND,0,,,,,
392,9,Constituyente,Adriana Cancino,,,,PS-IND,0,,,,,
393,9,Constituyente,Andres Cruz,,,,PS-IND,0,,,,,
394,9,Constituyente,Rosa Catrileo,,,,PS-IND,0,,,,,
395,9,Constituyente,Aurora Delgado,,,,RD-IND,0,,,,,
396,9,Constituyente,Yarela Gomez,,,,RD-IND,0,,,,,
397,9,Constituyente,Alvaro Jofre,,,,RN,0,,,,,
398,9,Constituyente,Roberto Vega,,,,RN,0,,,,,
399,9,Constituyente,Raul Celis,,,,RN,0,,,,,
400,9,Constituyente,Patricia Labra,,,,RN,0,,,,,
401,9,Constituyente,Luciano Silva,,,,RN,0,,,,,
402,9,Constituyente,Paulina Veloso,,,,RN,0,,,,,
403,9,Constituyente,Luis Mayol,,,,RN,0,,,,,
404,9,Constituyente,Harry Jurgensen,,,,RN,0,,,,,
405,9,Constituyente,Ruggero Cozzi,,,,RN-IND,0,,,,,
406,9,Constituyente,Bernardo Fontaine,,,,RN-IND,0,,,,,
407,9,Constituyente,Manuel Ossandon,,,,RN-IND,0,,,,,
408,9,Constituyente,Angelica Tepper,,,,RN-IND,0,,,,,
409,9,Constituyente,Pablo Toloza,,,,UDI,0,,,,,
410,9,Constituyente,Arturo Zuñiga,,,,UDI,0,,,,,
411,9,Constituyente,Margarita Letelier,,,,UDI,0,,,,,
412,9,Constituyente,Martin Garcia,,,,UDI,0,,,,,
413,9,Constituyente,Eduardo Cretton,,,,UDI,0,,,,,
414,9,Constituyente,Felipe Mena,,,,UDI,0,,,,,
415,9,Constituyente,Katerine Montealegre,,,,UDI,0,,,,,
416,9,Constituyente,Rodrigo Alvarez,,,,UDI,0,,,,,
417,9,Constituyente,Pollyana Rivera,,,,UDI-IND,0,,,,,
418,9,Constituyente,Jorge Arancibia,,,,UDI-IND,0,,,,,
419,9,Constituyente,Claudia Castro,,,,UDI-IND,0,,,,,
420,9,Constituyente,Ricardo Neumann,,,,UDI-IND,0,,,,,
421,9,Constituyente,Alfredo Moreno,,,,UDI-IND,0,,,,,
422,9,Constituyente,Maria Ubilla,,,,UDI-IND,0,,,,,
423,9,Constituyente,Luis Jimenez,,,,,0,,,,,
424,9,Constituyente,Wilfredo Bacian,,,,,0,,,,,
425,9,Constituyente,Isabella Mamani,,,,,0,,,,,
426,9,Constituyente,Ximena Anza,,,,,0,,,,,
427,9,Constituyente,Maria Calderon,,,,,0,,,,,
428,9,Constituyente,Tiare Aguilera,,,,,0,,,,,
429,9,Constituyente,Elisa Loncon,,,,,0,,,,,
430,9,Constituyente,Natividad Llanquileo,,,,,0,,,,,
431,9,Constituyente,Adolfo Millabur,,,,,0,,,,,
432,9,Constituyente,Francisca Linconao,,,,,0,,,,,
433,9,Constituyente,Carmen Caifil,,,,,0,,,,,
434,9,Constituyente,Carmen Jaramillo,,,,,0,,,,,
435,9,Constituyente,Lidia Gonzalez,,,,,0,,,,,
436,9,Constituyente,Margarita Vargas,,,,,0,,,,,
