id,orden,Cargo,Nombre,fn,edad,Partido,Partido,registro,Candidato,fecha_endoso,link,link,
52,7,Alcalde,Macarena Ripamonti,11/07/1991,30,Revolución Democrática,RD,1,G. Boric,21/06/2021,,,
53,9,Constituyente,Maria Oyarzun,,,,RD,1,G. Boric,21/06/2021,,,
54,9,Constituyente,Tatiana Urrutia,,,,RD,1,G. Boric,21/06/2021,,,
55,9,Constituyente,Giovanna Roa,,,,RD,1,G. Boric,21/06/2021,,,
56,9,Constituyente,Amaya Alvez,,,,RD,1,G. Boric,21/06/2021,,,
57,9,Constituyente,Daniel Stingo,,,,RD-IND,1,G. Boric,21/06/2021,,,
58,9,Constituyente,Fernando Atria,,,,RD-IND,1,G. Boric,21/06/2021,,,
59,9,Constituyente,Beatriz Sanchez,,,,RD-IND,1,G. Boric,21/06/2021,,,
60,3,Ministro,Gloria Hutt,31/01/1955,66,Evolución Política,EVO,1,I. Briones,30/01/2021,https://twitter.com/evopoli/status/1355562214833475586,.,
61,3,Ministro,María E. Undurraga,,,Evolución Política,EVO,1,I. Briones,28/04/2021,,,
62,5,Senador,Felipe Kast,09/06/1977,44,Evolución Política,EVO,1,I. Briones,26/01/2021,https://radio.uchile.cl/2021/01/26/apoyos-y-criticas-lo-que-dejo-la-salida-de-ignacio-briones-del-gabinete/,.,
63,6,Diputado,Sebastián Keitel,14/02/1973,48,Evolución Política,EVO,1,I. Briones,26/01/2021,https://twitter.com/evopoli/status/1354053001904848897,.,
64,6,Diputado,Pablo Kast,24/08/1973,48,Evolución Política,EVO,1,I. Briones,26/01/2021,https://twitter.com/labkast/status/1354051966733873154,.,
65,6,Diputado,Sebastían Álvarez,13/11/1970,51,Evolución Política,EVO,1,I. Briones,30/01/2021,https://twitter.com/evopoli/status/1355562214833475586,.,
66,6,Diputado,Luciano Cruz-Coke,01/07/1970,51,Evolución Política,EVO,1,I. Briones,30/01/2021,https://twitter.com/evopoli/status/1355562214833475586,.,
67,6,Diputado,Andrés Molina,17/11/1963,58,Evolución Política,EVO,1,I. Briones,26/01/2021,https://twitter.com/andresmolinam/status/1354049947629461506,.,
68,6,Diputado,Francisco Undurraga,29/09/1965,56,Evolución Política,EVO,1,I. Briones,26/01/2021,https://twitter.com/Panchoundurraga/status/1354042149055188992,.,
69,9,Constituyente,Hernan Larrain,,,,EVO,1,I. Briones,21/06/2021,,,
70,9,Constituyente,Geoconda Navarrete,,,,EVO,1,I. Briones,21/06/2021,,,
71,9,Constituyente,Bernardo de la Maza,,,,EVO-IND,1,I. Briones,25-06-2021,https://twitter.com/bdelamaza,.,
72,6,Diputado,Álvaro Carter,09/10/1980,41,Independiente,IND,1,J. Lavín,25/06/2021,https://twitter.com/Alvaro_CarterF/status/1407204507050774535,.,
73,7,Alcalde,Rodolfo Carter,06/06/1971,50,Independiente,IND,1,J. Lavín,25/05/2021,https://www.cnnchile.com/pais/carter-confia-en-lavin-aprendido-a-escuchar-a-chile_20210524/,.,
74,3,Ministro,Patricio Melero,19-06-1956,65,Unión Demócrata Independiente,UDI,1,J. Lavín,02-09-2021,https://www.radioagricultura.cl/politica/2020/09/02/diputado-melero-sobre-joaquin-lavin-no-tengo-ninguna-duda-que-es-un-lider-de-centroderecha.html,.,
75,5,Senador,Jacqueline v. Rysselberghe,03/02/1965,56,Unión Demócrata Independiente,UDI,1,J. Lavín,,https://twitter.com/jvanbiobio/status/1408085085983756296,.,
76,5,Senador,David Sandoval,20/10/1952,69,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/sandovalplaza/status/1408198675868835843,.,
77,5,Senador,Iván Moreira,08/12/1956,65,Unión Demócrata Independiente,UDI,1,J. Lavín,25/06/2021,https://twitter.com/ivanmoreirab/status/1408213085480013829,.,
