id,orden,fecha,Cargo,Nombre,fn,edad,Partido,Partido,Estado,fecha_endoso,link,link
40,4,28/10/2020,Intendente,Miguel Ángel Quezada ,16/10/1969,51,Unión Demócrata Independiente,UDI,Sin info,,,
41,4,28/10/2020,Intendente,Lucía Pinto Ramírez,18/09/1975,45,Unión Demócrata Independiente,UDI,Sin info,,,
42,4,28/10/2020,Intendente,Rebeca Cofré Calderón ,23/08/1962,58,Unión Demócrata Independiente,UDI,Sin info,,,
43,4,28/10/2020,Intendente,Sergio Giacaman García ,07/09/1979,41,Unión Demócrata Independiente,UDI,Sin info,,,
44,4,28/10/2020,Intendente,Roberto Erpel Seguel ,17/12/1956,64,Unión Demócrata Independiente,UDI,Sin info,,,
45,5,28/10/2020,Alcalde,Cathy Barriga Guerra,09/04/1973,47,Independiente,IND,Sin info,,,
46,5,28/10/2020,Alcalde,Rodolfo Carter Fernández,06/06/1971,49,Independiente,IND,Sin info,,,
47,5,28/10/2020,Alcalde,Jorge Sharp Fajardo,25/03/1985,35,Independiente,IND,Sin info,,,
48,5,28/10/2020,Alcalde,Mauricio Soria Macchiavello,03/03/1969,51,Independiente,IND,Sin info,,,
49,5,28/10/2020,Alcalde,Omar Sabat Guzmán,,,Independiente,IND,Sin info,,,
50,5,28/10/2020,Alcalde,Marcos López Rivera,20/03/1957,63,Independiente,IND,Sin info,,,
51,5,28/10/2020,Alcalde,Marcelo Pereira Peralta,,,Partido Democrata Cristiano,DC,Sin info,,,
52,5,28/10/2020,Alcalde,Álvaro Ortíz Vera,24/10/1977,43,Partido Democrata Cristiano,DC,Sin info,,,
53,5,28/10/2020,Alcalde,Gerardo Espíndola Rojas,23/07/1978,42,Partido Liberal,PL,Sin info,,,
54,5,28/10/2020,Alcalde,Ignacio Pozo Piña,15/08/1994,26,Partido Radical Socialdemócrata,PR,Sin info,,,
55,5,28/10/2020,Alcalde,Leonel Cádiz Soto,,,Partido Socialista,PS,Sin info,,,
56,5,28/10/2020,Alcalde,Gervoy Paredes Rojas,,,Partido Socialista,PS,Sin info,,,
57,5,28/10/2020,Alcalde,Alejandro Huala Canumán,,,Partido Socialista,PS,Sin info,,,
58,5,28/10/2020,Alcalde,Germán Codina Powers,28/03/1974,46,Renovación Nacional,RN,Sin info,,,
59,5,28/10/2020,Alcalde,Felipe Alessandri Vergara,04/02/1975,45,Renovación Nacional,RN,Sin info,,,
60,5,28/10/2020,Alcalde,Miguel Ángel Becker Alvear,07/10/1960,60,Renovación Nacional,RN,Sin info,,,
61,5,28/10/2020,Alcalde,Juan Carlos Díaz Avendaño,,,Renovación Nacional,RN,Sin info,,,
62,5,28/10/2020,Alcalde,Sergio Zarzar Andonie,12/01/1952,68,Renovación Nacional,RN,Sin info,,,
63,5,28/10/2020,Alcalde,Claudio Radonich,26/03/1976,44,Renovación Nacional,RN,Sin info,,,
64,5,28/10/2020,Alcalde,Virginia Reginato Bozzo,16/07/1939,81,Unión Demócrata Independiente,UDI,Sin info,,,
65,5,28/10/2020,Alcalde,Joaquín Lavín Infante,23/10/1953,67,Unión Demócrata Independiente,UDI,Sin info,,,
66,6,28/10/2020,Senador,Felipe Kast Sommerhoff,09/06/1977,43,Evolución Política,EVO,Sin info,,,
67,6,28/10/2020,Senador,Carmen Gloria Aravena Acuña,06/01/1967,53,Independiente,IND,Sin info,,,
68,6,28/10/2020,Senador,Juan Castro Prieto,01/11/1959,61,Renovación Nacional,RN,Sin info,,,
69,6,28/10/2020,Senador,Kenneth Pugh Olavarría,22/10/1959,61,Independiente,IND,Sin info,,,
70,6,28/10/2020,Senador,Carlos Bianchi Chelech,04/11/1960,60,Independiente,IND,Sin info,,,
71,6,28/10/2020,Senador,Alejandro Guillier Álvarez,05/03/1953,67,Independiente,IND,Sin info,,,
72,6,28/10/2020,Senador,Pedro Araya Guerrero,16/06/1974,46,Independiente,IND,Sin info,,,
73,6,28/10/2020,Senador,Alejandro Navarro Brain,20/11/1958,62,Pais Progresista,PPRO,Sin info,,,
74,6,28/10/2020,Senador,Francisco Huenchumilla Jaramillo,22/03/1944,76,Partido Democrata Cristiano,DC,Sin info,,,
75,6,28/10/2020,Senador,Yasna Provoste Campillay,16/12/1969,51,Partido Democrata Cristiano,DC,Sin info,,,
76,6,28/10/2020,Senador,Ximena Rincón González,05/07/1968,52,Partido Democrata Cristiano,DC,Sin info,,,
77,6,28/10/2020,Senador,Carolina Goic Boroevic,20/12/1972,48,Partido Democrata Cristiano,DC,Sin info,,,
78,6,28/10/2020,Senador,Jorge Pizarro Soto,21/04/1952,68,Partido Democrata Cristiano,DC,Sin info,,,
79,6,28/10/2020,Senador,Ricardo Lagos Weber,21/02/1962,58,Partido por la Democracia,PPD,Sin info,,,
80,6,28/10/2020,Senador,Ximena Órdenes Neira,09/03/1973,47,Independiente,IND,Sin info,,,
81,6,28/10/2020,Senador,Jaime Quintana Leal,22/10/1967,53,Partido por la Democracia,PPD,Sin info,,,
82,6,28/10/2020,Senador,Jorge Soria Quiroga,01/11/1936,84,Partido por la Democracia,PPD,Sin info,,,
83,6,28/10/2020,Senador,Guido Girardi Lavín,24/01/1961,59,Partido por la Democracia,PPD,Sin info,,,
84,6,28/10/2020,Senador,Felipe Harboe Bascuñán,20/07/1972,48,Partido por la Democracia,PPD,Sin info,,,
85,6,28/10/2020,Senador,Adriana Muñoz D'Albora,25/09/1948,72,Partido por la Democracia,PPD,Sin info,,,
86,6,28/10/2020,Senador,Álvaro Elizalde Soto,15/10/1969,51,Partido Socialista,PS,Sin info,,,
87,6,28/10/2020,Senador,José Miguel Insulza Salinas,02/06/1943,77,Partido Socialista,PS,Sin info,,,
88,6,28/10/2020,Senador,Isabel Allende Bussi,18/01/1945,75,Partido Socialista,PS,Sin info,,,
89,6,28/10/2020,Senador,Alfonso De Urresti Longton,07/03/1966,54,Partido Socialista,PS,Sin info,,,
90,6,28/10/2020,Senador,Juan Pablo Letelier Morel,07/01/1961,59,Partido Socialista,PS,Sin info,,,
91,6,28/10/2020,Senador,Carlos Montes Cisternas,11/05/1946,74,Partido Socialista,PS,Sin info,,,
92,6,28/10/2020,Senador,Rabindranath Quinteros Lara,31/10/1943,77,Partido Socialista,PS,Sin info,,,
93,6,28/10/2020,Senador,Marcela Sabat Fernández,04/04/1981,39,Renovación Nacional,RN,Sin info,,,
94,6,28/10/2020,Senador,Francisco Chahuan Chahuan,20/05/1971,49,Renovación Nacional,RN,Sin info,,,
95,6,28/10/2020,Senador,Rodrigo Galilea Vial,03/11/1966,54,Renovación Nacional,RN,Sin info,,,
96,6,28/10/2020,Senador,José García Ruminot,22/05/1955,65,Renovación Nacional,RN,Sin info,,,
97,6,28/10/2020,Senador,Rafael Prohens Espinosa,12/06/1955,65,Renovación Nacional,RN,Sin info,,,
98,6,28/10/2020,Senador,Manuel José Ossandón Irarrázabal,24/08/1962,58,Renovación Nacional,RN,Sin info,,,
99,6,28/10/2020,Senador,Juan Ignacio Latorre Riveros,24/03/1978,42,Revolución Democrática,RD,Sin info,,,
100,6,28/10/2020,Senador,José Durana Semir,27/06/1960,60,Unión Demócrata Independiente,UDI,Sin info,,,
101,6,28/10/2020,Senador,Luz Ebensperger Orrego,08/03/1964,56,Unión Demócrata Independiente,UDI,Sin info,,,
102,6,28/10/2020,Senador,David Sandoval Plaza,20/10/1952,68,Unión Demócrata Independiente,UDI,Sin info,,,
103,6,28/10/2020,Senador,Juan Antonio Coloma Correa,15/07/1956,64,Unión Demócrata Independiente,UDI,Sin info,,,
104,6,28/10/2020,Senador,Iván Moreira Barros,08/12/1956,64,Unión Demócrata Independiente,UDI,Sin info,,,
105,6,28/10/2020,Senador,Ena Von Baer Jahn,28/11/1974,46,Unión Demócrata Independiente,UDI,Sin info,,,
106,6,28/10/2020,Senador,Alejandro García-Huidobro Sanfuentes,19/04/1952,68,Unión Demócrata Independiente,UDI,Sin info,,,
107,6,28/10/2020,Senador,Jacqueline Van Rysselberghe Herrera,03/02/1965,55,Unión Demócrata Independiente,UDI,Sin info,,,
108,6,28/10/2020,Senador,Claudio Alvarado Andrade,07/02/1960,60,Unión Demócrata Independiente,UDI,Sin info,,,
109,7,28/10/2020,Diputado,Diego Ibáñez Cotroneo,25/01/1989,31,Convergencia Social,CS,Sin info,,,
110,7,28/10/2020,Diputado,Gabriel Boric Font,11/02/1986,34,Convergencia Social,CS,Sin info,,,
111,7,28/10/2020,Diputado,Gonzalo Winter Etcheberry,06/01/1987,33,Convergencia Social,CS,Sin info,,,
112,7,28/10/2020,Diputado,Sebastián Keitel Bianchi,14/02/1973,47,Evolución Política,EVO,Sin info,,,
113,7,28/10/2020,Diputado,Pablo Kast Sommerhoff,24/08/1973,47,Evolución Política,EVO,Sin info,,,
114,7,28/10/2020,Diputado,Sebastían Álvarez Ramírez,13/11/1970,50,Evolución Política,EVO,Sin info,,,
115,7,28/10/2020,Diputado,Luciano Cruz-Coke Carvallo,01/07/1970,50,Evolución Política,EVO,Sin info,,,
116,7,28/10/2020,Diputado,Andrés Molina Magofke,17/11/1963,57,Evolución Política,EVO,Sin info,,,
117,7,28/10/2020,Diputado,Francisco Undurraga Gazitúa,29/09/1965,55,Evolución Política,EVO,Sin info,,,
118,7,28/10/2020,Diputado,Jaime Mulet Martínez,03/08/1963,57,Federación Regionalista Verde Social,FRVS,Sin info,,,
119,7,28/10/2020,Diputado,Alejandra Sepúlveda Orbenes,13/11/1965,55,Federación Regionalista Verde Social,FRVS,Sin info,,,
120,7,28/10/2020,Diputado,Pedro Velasquez Seguel,05/08/1964,56,Independiente,IND,Sin info,,,
121,7,28/10/2020,Diputado,Esteban Velásquez Núñez,26/12/1962,58,Federación Regionalista Verde Social,FRVS,Sin info,,,
122,7,28/10/2020,Diputado,Karim Bianchi Retamales,31/01/1983,37,Independiente,IND,Sin info,,,
123,7,28/10/2020,Diputado,Rene Saffirio Espinoza,09/10/1955,65,Independiente,IND,Sin info,,,
124,7,28/10/2020,Diputado,Camila Vallejo Dowling,28/04/1988,32,Partido Comunista de Chile,PC,Sin info,,,
125,7,28/10/2020,Diputado,Karol Cariola Oliva,01/04/1987,33,Partido Comunista de Chile,PC,Sin info,,,
126,7,28/10/2020,Diputado,Boris Barrera Moreno,03/05/1970,50,Partido Comunista de Chile,PC,Sin info,,,
127,7,28/10/2020,Diputado,Hugo Gutiérrez Gálvez,05/10/1961,59,Partido Comunista de Chile,PC,Sin info,,,
128,7,28/10/2020,Diputado,Carmen Hertz Cádiz,19/06/1945,75,Partido Comunista de Chile,PC,Sin info,,,
129,7,28/10/2020,Diputado,Amaro Labra Sepúlveda,25/10/1949,71,Partido Comunista de Chile,PC,Sin info,,,
130,7,28/10/2020,Diputado,Daniel Núñez Arancibia,07/01/1971,49,Partido Comunista de Chile,PC,Sin info,,,
131,7,28/10/2020,Diputado,Guillermo Teillier del Valle,29/10/1943,77,Partido Comunista de Chile,PC,Sin info,,,
132,7,28/10/2020,Diputado,Gabriel Ascencio Mansilla,25/10/1953,67,Partido Democrata Cristiano,DC,Sin info,,,
133,7,28/10/2020,Diputado,Miguel Calisto Águila,19/07/1985,35,Partido Democrata Cristiano,DC,Sin info,,,
134,7,28/10/2020,Diputado,Iván Flores García,15/06/1955,65,Partido Democrata Cristiano,DC,Sin info,,,
135,7,28/10/2020,Diputado,Manuel Matta Aragay,10/11/1946,74,Partido Democrata Cristiano,DC,Sin info,,,
136,7,28/10/2020,Diputado,José Miguel Ortiz Novoa,22/11/1941,79,Partido Democrata Cristiano,DC,Sin info,,,
137,7,28/10/2020,Diputado,Joanna Pérez Olea,01/04/1976,44,Partido Democrata Cristiano,DC,Sin info,,,
138,7,28/10/2020,Diputado,Gabriel Silber Romo,15/09/1976,44,Partido Democrata Cristiano,DC,Sin info,,,
139,7,28/10/2020,Diputado,Raúl Soto Mardones,20/11/1987,33,Independiente,IND,Sin info,,,
140,7,28/10/2020,Diputado,Víctor Torres Jeldes,11/10/1975,45,Partido Democrata Cristiano,DC,Sin info,,,
141,7,28/10/2020,Diputado,Mario Venegas Cárdenas,03/12/1957,63,Partido Democrata Cristiano,DC,Sin info,,,
142,7,28/10/2020,Diputado,Daniel Verdessi Belemmi,15/12/1952,68,Partido Democrata Cristiano,DC,Sin info,,,
143,7,28/10/2020,Diputado,Pablo Lorenzini Basso,25/10/1949,71,Independiente,IND,Sin info,,,
144,7,28/10/2020,Diputado,Jorge Sabag Villalobos,26/12/1963,57,Partido Democrata Cristiano,DC,Sin info,,,
145,7,28/10/2020,Diputado,Matias Walker Prieto,19/07/1973,47,Partido Democrata Cristiano,DC,Sin info,,,
146,7,28/10/2020,Diputado,Félix González Gatica,26/05/1972,48,Partido Ecologista Verde,PEV,Sin info,,,
147,7,28/10/2020,Diputado,Raúl Florcita Alarcón Rojas,15/10/1945,75,Partido Humanista,PH,Sin info,,,
148,7,28/10/2020,Diputado,Tomás Hirsch Goldschmidt,19/07/1956,64,Independiente,IND,Sin info,,,
149,7,28/10/2020,Diputado,Pamela Jiles Moreno,30/11/1960,60,Partido Humanista,PH,Sin info,,,
150,7,28/10/2020,Diputado,Camila Rojas Valderrama,11/03/1991,29,Comunes,Comunes,Sin info,,,
151,7,28/10/2020,Diputado,Alejandro Bernales Maldonado,02/02/1979,41,Partido Liberal,PL,Sin info,,,
152,7,28/10/2020,Diputado,Vlado Mirosevic Verdugo,23/05/1987,33,Partido Liberal,PL,Sin info,,,
153,7,28/10/2020,Diputado,Claudia Mix Jiménez,13/07/1969,51,Comunes,Comunes,Sin info,,,
154,7,28/10/2020,Diputado,René Alinco Bustos,02/06/1958,62,Independiente,IND,Sin info,,,
155,7,28/10/2020,Diputado,Loreto Carvajal Ambiado,18/05/1973,47,Partido por la Democracia,PPD,Sin info,,,
156,7,28/10/2020,Diputado,Ricardo Celis Araya,11/07/1955,65,Partido por la Democracia,PPD,Sin info,,,
157,7,28/10/2020,Diputado,Rodrigo González Torres,26/09/1941,79,Partido por la Democracia,PPD,Sin info,,,
158,7,28/10/2020,Diputado,Tucapel Jiménez Fuentes,01/09/1962,58,Partido por la Democracia,PPD,Sin info,,,
159,7,28/10/2020,Diputado,Carolina Marzán Pinto,22/12/1963,57,Partido por la Democracia,PPD,Sin info,,,
160,7,28/10/2020,Diputado,Andrea Parra Sauterel,02/09/1967,53,Partido por la Democracia,PPD,Sin info,,,
161,7,28/10/2020,Diputado,Cristina Girardi Lavín,09/01/1962,58,Partido por la Democracia,PPD,Sin info,,,
162,7,28/10/2020,Diputado,Marisela Santibáñez Novoa,24/04/1975,45,Partido Comunista de Chile,PC,Sin info,,,
163,7,28/10/2020,Diputado,Pepe Auth Stewart,06/03/1957,63,Independiente,IND,Sin info,,,
164,7,28/10/2020,Diputado,Marcela Hernando Pérez,12/02/1960,60,Partido Radical Socialdemócrata,PR,Sin info,,,
165,7,28/10/2020,Diputado,Cosme Mellado Pino,24/02/1960,60,Partido Radical Socialdemócrata,PR,Sin info,,,
166,7,28/10/2020,Diputado,Fernando Meza Moncada,14/07/1946,74,Independiente,IND,Sin info,,,
167,7,28/10/2020,Diputado,José Pérez Arriagada,29/12/1940,80,Partido Radical Socialdemócrata,PR,Sin info,,,
168,7,28/10/2020,Diputado,Alexis Sepúlveda Soto,29/12/1969,51,Partido Radical Socialdemócrata,PR,Sin info,,,
169,7,28/10/2020,Diputado,Carlos Abel Jarpa Wevar,14/11/1944,76,Independiente,IND,Sin info,,,
170,7,28/10/2020,Diputado,Marcelo Díaz Díaz,06/02/1971,49,Independiente,IND,Sin info,,,
171,7,28/10/2020,Diputado,Jenny Álvarez Vera,30/03/1974,46,Partido Socialista,PS,Sin info,,,
172,7,28/10/2020,Diputado,Juan Luis Castro González,18/04/1960,60,Partido Socialista,PS,Sin info,,,
173,7,28/10/2020,Diputado,Daniella Cicardini Milla,31/12/1987,33,Partido Socialista,PS,Sin info,,,
174,7,28/10/2020,Diputado,Fidel Espinoza Sandoval,24/01/1970,50,Partido Socialista,PS,Sin info,,,
175,7,28/10/2020,Diputado,Marcos Ilabaca Cerda,05/10/1970,50,Partido Socialista,PS,Sin info,,,
176,7,28/10/2020,Diputado,Raúl Leiva Carvajal,24/03/1974,46,Partido Socialista,PS,Sin info,,,
177,7,28/10/2020,Diputado,Manuel Monsalve Benavides,09/06/1965,55,Partido Socialista,PS,Sin info,,,
178,7,28/10/2020,Diputado,Jaime Naranjo Ortiz,12/01/1951,69,Partido Socialista,PS,Sin info,,,
179,7,28/10/2020,Diputado,Emilia Nuyado Ancapichún,17/08/1968,52,Partido Socialista,PS,Sin info,,,
180,7,28/10/2020,Diputado,Luis Rocafull López,17/09/1958,62,Partido Socialista,PS,Sin info,,,
181,7,28/10/2020,Diputado,Patricio Rosas Barrientos,06/05/1968,52,Independiente,IND,Sin info,,,
182,7,28/10/2020,Diputado,Gastón Saavedra Chandía,22/11/1955,65,Partido Socialista,PS,Sin info,,,
183,7,28/10/2020,Diputado,Raúl Saldívar Auger,02/06/1951,69,Partido Socialista,PS,Sin info,,,
184,7,28/10/2020,Diputado,Juan Rubén Santana,20/09/1989,31,Partido Socialista,PS,Sin info,,,
185,7,28/10/2020,Diputado,Marcelo Schilling Rodríguez,18/05/1949,71,Partido Socialista,PS,Sin info,,,
186,7,28/10/2020,Diputado,Leonardo Soto Ferrada,15/05/1966,54,Partido Socialista,PS,Sin info,,,
187,7,28/10/2020,Diputado,Maya Fernández Allende,27/09/1971,49,Partido Socialista,PS,Sin info,,,
188,7,28/10/2020,Diputado,Jaime Tohá González,16/06/1938,82,Partido Socialista,PS,Sin info,,,
189,7,28/10/2020,Diputado,Francesca Muñoz González,07/03/1980,40,Renovación Nacional,RN,Sin info,,,
190,7,28/10/2020,Diputado,Bernardo Berger Fett,04/10/1946,74,Renovación Nacional,RN,Sin info,,,
191,7,28/10/2020,Diputado,José Miguel Castro Bascuñan,05/08/1974,46,Renovación Nacional,RN,Sin info,,,
192,7,28/10/2020,Diputado,Andrés Celis Montt,08/04/1975,45,Renovación Nacional,RN,Sin info,,,
193,7,28/10/2020,Diputado,Sofía Cid Versalovic,29/09/1971,49,Renovación Nacional,RN,Sin info,,,
194,7,28/10/2020,Diputado,Catalina Del Real Mihovilovic,07/11/1968,52,Renovación Nacional,RN,Sin info,,,
195,7,28/10/2020,Diputado,Eduardo Durán Salinas,01/01/1972,48,Renovación Nacional,RN,Sin info,,,
196,7,28/10/2020,Diputado,Jorge Durán Espinosa,17/12/1980,40,Renovación Nacional,RN,Sin info,,,
197,7,28/10/2020,Diputado,Francisco Eguiguren Correa,13/07/1967,53,Renovación Nacional,RN,Sin info,,,
198,7,28/10/2020,Diputado,Camila Flores Oporto,09/02/1987,33,Renovación Nacional,RN,Sin info,,,
199,7,28/10/2020,Diputado,Gonzalo Fuenzalida Figueroa,18/06/1973,47,Renovación Nacional,RN,Sin info,,,
200,7,28/10/2020,Diputado,Ramón Galleguillos Castillo,26/07/1953,67,Renovación Nacional,RN,Sin info,,,
201,7,28/10/2020,Diputado,René Manuel García Garcia,24/05/1950,70,Renovación Nacional,RN,Sin info,,,
202,7,28/10/2020,Diputado,Carlos Ignacio Kuschel Silva,16/03/1953,67,Renovación Nacional,RN,Sin info,,,
203,7,28/10/2020,Diputado,Aracely Leuquén Uribe,24/11/1980,40,Renovación Nacional,RN,Sin info,,,
204,7,28/10/2020,Diputado,Karin Luck Urban,19/07/1971,49,Renovación Nacional,RN,Sin info,,,
205,7,28/10/2020,Diputado,Miguel Mellado Suazo,29/12/1958,62,Renovación Nacional,RN,Sin info,,,
206,7,28/10/2020,Diputado,Erika Olivera de la Fuente,04/01/1976,44,Independiente,IND,Sin info,,,
207,7,28/10/2020,Diputado,Luis Pardo Sáinz,13/12/1960,60,Renovación Nacional,RN,Sin info,,,
208,7,28/10/2020,Diputado,Diego Paulsen Kehr,01/08/1987,33,Renovación Nacional,RN,Sin info,,,
209,7,28/10/2020,Diputado,Paulina Núñez Urrutia,30/12/1982,38,Renovación Nacional,RN,Sin info,,,
210,7,28/10/2020,Diputado,Leopoldo Pérez Lahsen,28/03/1957,63,Renovación Nacional,RN,Sin info,,,
211,7,28/10/2020,Diputado,Pablo Prieto Lorca,04/05/1959,61,Independiente,IND,Sin info,,,
212,7,28/10/2020,Diputado,Jorge Rathgeb Schifferli,28/12/1967,53,Renovación Nacional,RN,Sin info,,,
213,7,28/10/2020,Diputado,Hugo Rey Martínez,06/12/1973,47,Renovación Nacional,RN,Sin info,,,
214,7,28/10/2020,Diputado,Leonidas Romero Saéz,15/10/1955,65,Renovación Nacional,RN,Sin info,,,
215,7,28/10/2020,Diputado,Alejandro Santana Tirachini,18/07/1965,55,Renovación Nacional,RN,Sin info,,,
216,7,28/10/2020,Diputado,Frank Sauerbaum Muñoz,21/11/1972,48,Renovación Nacional,RN,Sin info,,,
217,7,28/10/2020,Diputado,Diego Schalper Sepúlveda,14/03/1985,35,Renovación Nacional,RN,Sin info,,,
218,7,28/10/2020,Diputado,Sebastián Torrealba Alvarado,06/02/1981,39,Renovación Nacional,RN,Sin info,,,
219,7,28/10/2020,Diputado,Cristobal Urruticoechea Ríos,21/11/1975,45,Renovación Nacional,RN,Sin info,,,
220,7,28/10/2020,Diputado,Harry Jurgensen Rundshagen,03/09/1968,52,Renovación Nacional,RN,Sin info,,,
221,7,28/10/2020,Diputado,Andrés Longton Herrera,26/05/1982,38,Renovación Nacional,RN,Sin info,,,
222,7,28/10/2020,Diputado,Ximena Ossandón Irarrázaval,13/12/1963,57,Renovación Nacional,RN,Sin info,,,
223,7,28/10/2020,Diputado,Camilo Morán Bahamondes,17/04/1990,30,Renovación Nacional,RN,Sin info,,,
224,7,28/10/2020,Diputado,Tomás Fuentes Barros,10/03/1985,35,Renovación Nacional,RN,Sin info,,,
225,7,28/10/2020,Diputado,Natalia Castillo Muñoz,01/08/1982,38,Revolución Democrática,RD,Sin info,,,
226,7,28/10/2020,Diputado,Renato Garín González,30/05/1986,34,Independiente,IND,Sin info,,,
227,7,28/10/2020,Diputado,Catalina Pérez Salinas,18/12/1990,30,Revolución Democrática,RD,Sin info,,,
228,7,28/10/2020,Diputado,Pablo Vidal Rojas,24/06/1983,37,Revolución Democrática,RD,Sin info,,,
229,7,28/10/2020,Diputado,Gael Yeomans Araya,04/12/1988,32,Convergencia Social,CS,Sin info,,,
230,7,28/10/2020,Diputado,Jorge Brito Hasbún,12/01/1990,30,Revolución Democrática,RD,Sin info,,,
231,7,28/10/2020,Diputado,Miguel Crispi Serrano,09/04/1985,35,Revolución Democrática,RD,Sin info,,,
232,7,28/10/2020,Diputado,Giorgio Jackson Drago,06/02/1987,33,Revolución Democrática,RD,Sin info,,,
233,7,28/10/2020,Diputado,Maite Orsini Pascal,23/02/1988,32,Revolución Democrática,RD,Sin info,,,
234,7,28/10/2020,Diputado,Sandra Amar Mancilla,24/11/1955,65,Independiente,IND,Sin info,,,
235,7,28/10/2020,Diputado,Nino Baltolú Rasera,28/09/1953,67,Unión Demócrata Independiente,UDI,Sin info,,,
236,7,28/10/2020,Diputado,Ramón Barros Montero,05/03/1958,62,Unión Demócrata Independiente,UDI,Sin info,,,
