id,orden,fecha,Cargo,Nombre,fn,edad,Partido,Partido,Estado,fecha_endoso,link,link
1,1,28/10/2020,Presidente,Sebastián Piñera Echeñique,01/12/1949,71,Independiente,IND,Sin info,,,
2,2,28/10/2020,Ex Presidente,Eduardo Frei Ruiz-Tagle,24/06/1942,78,Partido Democrata Cristiano,DC,Sin info,,,
3,2,28/10/2020,Ex Presidente,Ricardo Lagos Escobar,02/03/1938,82,Partido por la Democracia,PPD,Sin info,,,
4,2,28/10/2020,Ex Presidente,Michelle Bachelet Jeria,29/09/1951,69,Partido Socialista,PS,Sin info,,,
5,3,28/10/2020,Ministro,Ignacio Briones Rojas,12/12/1972,48,Evolución Política,EVO,Sin info,,,
6,3,28/10/2020,Ministro,Gloria Hutt Hesse,31/01/1955,65,Evolución Política,EVO,Sin info,,,
7,3,28/10/2020,Ministro,Karla Rubilar Barahona,17/04/1977,43,Independiente,IND,Sin info,,,
8,3,28/10/2020,Ministro,María José Zaldívar Larraín,16/09/1975,45,Independiente,IND,Sin info,,,
9,3,28/10/2020,Ministro,Antonio Walker Prieto,28/06/1961,59,Independiente,IND,Sin info,,,
10,3,28/10/2020,Ministro,Juan Carlos Jobet Eluchans,14/10/1975,45,Independiente,IND,Sin info,,,
11,3,28/10/2020,Ministro,Consuelo Valdés Chadwick,09/10/1948,72,Independiente,IND,Sin info,,,
12,3,28/10/2020,Ministro,Raúl Figueroa Salas,21/03/1975,45,Independiente,IND,Sin info,,,
13,3,28/10/2020,Ministro,Alfredo Moreno Charme,04/08/1956,64,Independiente,IND,Sin info,,,
14,3,28/10/2020,Ministro,Enrique Paris Mancilla,03/09/1948,72,Independiente,IND,Sin info,,,
15,3,28/10/2020,Ministro,Carolina Schmidt Zaldívar,09/09/1967,53,Independiente,IND,Sin info,,,
16,3,28/10/2020,Ministro,Andrés Couve Correa,23/10/1968,52,Independiente,IND,Sin info,,,
17,3,28/10/2020,Ministro,Mario Desbordes Jiménez,15/10/1968,52,Renovación Nacional,RN,Sin info,,,
18,3,28/10/2020,Ministro,Cristián Monckeberg Bruner,12/05/1968,52,Renovación Nacional,RN,Sin info,,,
19,3,28/10/2020,Ministro,Andrés Allamand Zavala,07/02/1956,64,Renovación Nacional,RN,Sin info,,,
20,3,28/10/2020,Ministro,Baldo Prokuriça Prokuriça,02/07/1958,62,Renovación Nacional,RN,Sin info,,,
21,3,28/10/2020,Ministro,Cecilia Pérez Jara,23/09/1974,46,Renovación Nacional,RN,Sin info,,,
22,3,28/10/2020,Ministro,Lucas Palacios Covarrubias,17/03/1974,46,Unión Demócrata Independiente,UDI,Sin info,,,
23,3,28/10/2020,Ministro,Jaime Bellolio Avaría,29/11/1980,40,Unión Demócrata Independiente,UDI,Sin info,,,
24,3,28/10/2020,Ministro,Victor Pérez Varela,18/10/1954,66,Unión Demócrata Independiente,UDI,Sin info,,,
25,3,28/10/2020,Ministro,Felipe Ward Edwards ,14/09/1972,48,Unión Demócrata Independiente,UDI,Sin info,,,
26,3,28/10/2020,Ministro,Julio Isamit Díaz,18/02/1989,31,Unión Demócrata Independiente,UDI,Sin info,,,
27,3,28/10/2020,Ministro,Mónica Zalaquett Said,04/05/1962,58,Unión Demócrata Independiente,UDI,Sin info,,,
28,3,28/10/2020,Ministro,Hernán Larraín Fernández,21/09/1947,73,Unión Demócrata Independiente,UDI,Sin info,,,
29,4,28/10/2020,Intendente,Juan Eduardo Prieto ,08/11/1984,36,Evolución Política,EVO,Sin info,,,
30,4,28/10/2020,Intendente,Geoconda Navarrete Arratia ,08/09/1969,51,Evolución Política,EVO,Sin info,,,
31,4,28/10/2020,Intendente,Martín Arrau García-Huidobro ,,,Independiente,IND,Sin info,,,
32,4,28/10/2020,Intendente,César Asenjo Jerez ,,,Independiente,IND,Sin info,,,
33,4,28/10/2020,Intendente,José Fernández Dübrock ,10/10/1953,67,Independiente,IND,Sin info,,,
34,4,28/10/2020,Intendente,Edgar Blanco Rand ,,,Renovación Nacional,RN,Sin info,,,
35,4,28/10/2020,Intendente,Patricio Urquieta García ,15/12/1981,39,Renovación Nacional,RN,Sin info,,,
36,4,28/10/2020,Intendente,Jorge Martínez Durán ,19/11/1972,48,Renovación Nacional,RN,Sin info,,,
37,4,28/10/2020,Intendente,Felipe Guevara Stephens ,05/08/1967,53,Renovación Nacional,RN,Sin info,,,
38,4,28/10/2020,Intendente,Víctor Manoli Nazal ,,,Renovación Nacional,RN,Sin info,,,
39,4,28/10/2020,Intendente,Harry Jürgensen Caesar,30/05/1949,71,Renovación Nacional,RN,Sin info,,,
